	Sort	Isolate Sort	Virus GENBANK accession	Species	Genome coverage	Genus
10656	10637.0	5	FJ445113	Rhinovirus A	Complete genome	Enterovirus
10657	10638.0	6	FJ445177	Rhinovirus A	Complete genome	Enterovirus
10658	10639.0	7	DQ473498	Rhinovirus A	Complete genome	Enterovirus
10659	10640.0	8	EF173414	Rhinovirus A	Complete genome	Enterovirus
10660	10641.0	9	EF173415	Rhinovirus A	Complete genome	Enterovirus
10661	10642.0	10	FJ445116	Rhinovirus A	Complete genome	Enterovirus
10662	10643.0	11	DQ473493	Rhinovirus A	Complete genome	Enterovirus
10663	10644.0	12	L24917	Rhinovirus A	Complete genome	Enterovirus
10664	10645.0	13	FJ445118	Rhinovirus A	Complete genome	Enterovirus
10665	10646.0	14	FJ445119	Rhinovirus A	Complete genome	Enterovirus
10666	10647.0	15	FJ445120	Rhinovirus A	Complete genome	Enterovirus
10667	10648.0	16	FJ445121	Rhinovirus A	Complete genome	Enterovirus
10668	10649.0	17	FJ445122	Rhinovirus A	Complete genome	Enterovirus
10669	10650.0	18	DQ473497	Rhinovirus A	Complete genome	Enterovirus
10670	10651.0	19	EF173416	Rhinovirus A	Complete genome	Enterovirus
10671	10652.0	20	FJ445123	Rhinovirus A	Complete genome	Enterovirus
10672	10653.0	21	DQ473508	Rhinovirus A	Complete genome	Enterovirus
10673	10654.0	22	FJ445125	Rhinovirus A	Complete genome	Enterovirus
10674	10655.0	23	DQ473512	Rhinovirus A	Complete genome	Enterovirus
10675	10656.0	24	FJ445126	Rhinovirus A	Complete genome	Enterovirus
10676	10657.0	25	FJ445127	Rhinovirus A	Complete genome	Enterovirus
10677	10658.0	26	FJ445128	Rhinovirus A	Complete genome	Enterovirus
10678	10659.0	27	DQ473501	Rhinovirus A	Complete genome	Enterovirus
10679	10660.0	28	DQ473505	Rhinovirus A	Complete genome	Enterovirus
10680	10661.0	29	DQ473495	Rhinovirus A	Complete genome	Enterovirus
10681	10662.0	30	AY751783	Rhinovirus A	Complete genome	Enterovirus
10682	10663.0	31	FJ445129	Rhinovirus A	Complete genome	Enterovirus
10683	10664.0	32	DQ473491	Rhinovirus A	Complete genome	Enterovirus
10684	10665.0	33	FJ445131	Rhinovirus A	Complete genome	Enterovirus
10685	10666.0	34	FJ445132	Rhinovirus A	Complete genome	Enterovirus
10686	10667.0	35	DQ473506	Rhinovirus A	Complete genome	Enterovirus
10687	10668.0	36	FJ445133	Rhinovirus A	Complete genome	Enterovirus
10688	10669.0	37	DQ473496	Rhinovirus A	Complete genome	Enterovirus
10689	10670.0	38	FJ445135	Rhinovirus A	Complete genome	Enterovirus
10690	10671.0	39	FJ445136	Rhinovirus A	Complete genome	Enterovirus
10691	10672.0	40	DQ473507	Rhinovirus A	Complete genome	Enterovirus
10692	10673.0	41	FJ445138	Rhinovirus A	Complete genome	Enterovirus
10693	10674.0	42	DQ473511	Rhinovirus A	Complete genome	Enterovirus
10694	10675.0	43	FJ445140	Rhinovirus A	Complete genome	Enterovirus
10695	10676.0	44	FJ445141	Rhinovirus A	Complete genome	Enterovirus
10696	10677.0	45	FJ445142	Rhinovirus A	Complete genome	Enterovirus
10697	10678.0	46	DQ473500	Rhinovirus A	Complete genome	Enterovirus
10698	10679.0	47	FJ445143	Rhinovirus A	Complete genome	Enterovirus
10699	10680.0	48	FJ445144	Rhinovirus A	Complete genome	Enterovirus
10700	10681.0	49	FJ445145	Rhinovirus A	Complete genome	Enterovirus
10701	10682.0	50	FJ445146	Rhinovirus A	Complete genome	Enterovirus
10702	10683.0	51	EF173417	Rhinovirus A	Complete genome	Enterovirus
10703	10684.0	52	FJ445147	Rhinovirus A	Complete genome	Enterovirus
10704	10685.0	53	FJ445148	Rhinovirus A	Complete genome	Enterovirus
10705	10686.0	54	FJ445149	Rhinovirus A	Complete genome	Enterovirus
10706	10687.0	55	FJ445150	Rhinovirus A	Complete genome	Enterovirus
10707	10688.0	56	FJ445152	Rhinovirus A	Complete genome	Enterovirus
10708	10689.0	57	DQ473492	Rhinovirus A	Complete genome	Enterovirus
10709	10690.0	58	DQ473494	Rhinovirus A	Complete genome	Enterovirus
10710	10691.0	59	DQ473510	Rhinovirus A	Complete genome	Enterovirus
10711	10692.0	60	DQ473502	Rhinovirus A	Complete genome	Enterovirus
10712	10693.0	61	FJ445154	Rhinovirus A	Complete genome	Enterovirus
10713	10694.0	62	EF173418	Rhinovirus A	Complete genome	Enterovirus
10714	10695.0	63	FJ445156	Rhinovirus A	Complete genome	Enterovirus
10715	10696.0	64	FJ445157	Rhinovirus A	Complete genome	Enterovirus
10716	10697.0	65	DQ473509	Rhinovirus A	Complete genome	Enterovirus
10717	10698.0	66	FJ445163	Rhinovirus A	Complete genome	Enterovirus
10718	10699.0	67	DQ473504	Rhinovirus A	Complete genome	Enterovirus
10719	10700.0	68	M16248	Rhinovirus A	Complete genome	Enterovirus
10720	10701.0	69	FJ445167	Rhinovirus A	Complete genome	Enterovirus
10721	10702.0	70	EF173419	Rhinovirus A	Complete genome	Enterovirus
10722	10703.0	71	FJ445171	Rhinovirus A	Complete genome	Enterovirus
10723	10704.0	72	FJ445175	Rhinovirus A	Complete genome	Enterovirus
10724	10705.0	73	GQ415051	Rhinovirus A	Complete genome	Enterovirus
10725	10706.0	74	EF155421	Rhinovirus A	Complete genome	Enterovirus
10726	10707.0	75	JF965515	Rhinovirus A	Complete genome	Enterovirus
10727	10708.0	76	JN562727	Rhinovirus A	Complete genome	Enterovirus
10728	10709.0	77	JN614995	Rhinovirus A	Complete genome	Enterovirus
10729	10710.0	78	JQ245971	Rhinovirus A	Complete genome	Enterovirus
10730	10711.0	79	KC859319	Rhinovirus A	Partial genome	Enterovirus
10731	10712.0	80	KC859318	Rhinovirus A	Partial genome	Enterovirus
10733	10714.0	2	DQ473490	Rhinovirus B	Complete genome	Enterovirus
10734	10715.0	3	FJ445112	Rhinovirus B	Complete genome	Enterovirus
10735	10716.0	4	DQ473486	Rhinovirus B	Complete genome	Enterovirus
10736	10717.0	5	K02121	Rhinovirus B	Complete genome	Enterovirus
10737	10718.0	6	EF173420	Rhinovirus B	Complete genome	Enterovirus
10738	10719.0	7	FJ445124	Rhinovirus B	Complete genome	Enterovirus
10739	10720.0	8	FJ445186	Rhinovirus B	Complete genome	Enterovirus
10740	10721.0	9	DQ473487	Rhinovirus B	Complete genome	Enterovirus
10741	10722.0	10	EF173423	Rhinovirus B	Complete genome	Enterovirus
10742	10723.0	11	FJ445130	Rhinovirus B	Complete genome	Enterovirus
10743	10724.0	12	DQ473488	Rhinovirus B	Complete genome	Enterovirus
10744	10725.0	13	FJ445188	Rhinovirus B	Complete genome	Enterovirus
10745	10726.0	14	FJ445151	Rhinovirus B	Complete genome	Enterovirus
10746	10727.0	15	DQ473489	Rhinovirus B	Complete genome	Enterovirus
10747	10728.0	16	FJ445153	Rhinovirus B	Complete genome	Enterovirus
10748	10729.0	17	FJ445155	Rhinovirus B	Complete genome	Enterovirus
10749	10730.0	18	FJ445161	Rhinovirus B	Complete genome	Enterovirus
10750	10731.0	19	FJ445162	Rhinovirus B	Complete genome	Enterovirus
10751	10732.0	20	FJ445164	Rhinovirus B	Complete genome	Enterovirus
10752	10733.0	21	FJ445168	Rhinovirus B	Complete genome	Enterovirus
10753	10734.0	22	FJ445169	Rhinovirus B	Complete genome	Enterovirus
10754	10735.0	23	EF173425	Rhinovirus B	Complete genome	Enterovirus
10755	10736.0	24	FJ445172	Rhinovirus B	Complete genome	Enterovirus
10756	10737.0	25	FJ445174	Rhinovirus B	Complete genome	Enterovirus
10757	10738.0	26	HQ123444	Rhinovirus B	Coding-complete genome	Enterovirus
10758	10739.0	27	JF781500	Rhinovirus B	Complete genome	Enterovirus
10759	10740.0	28	JX074053	Rhinovirus B	Complete genome	Enterovirus
10760	10741.0	29	JN614996	Rhinovirus B	Complete genome	Enterovirus
10761	10742.0	30	FJ445137	Rhinovirus B	Complete genome	Enterovirus
10763	10744.0	2	EF077280	Rhinovirus C	Complete genome	Enterovirus
10764	10745.0	3	EF186077	Rhinovirus C	Complete genome	Enterovirus
10765	10746.0	4	EF582385	Rhinovirus C	Complete genome	Enterovirus
10766	10747.0	5	EF582386	Rhinovirus C	Complete genome	Enterovirus
10767	10748.0	6	EF582387	Rhinovirus C	Complete genome	Enterovirus
10768	10749.0	7	DQ875932	Rhinovirus C	Complete genome	Enterovirus
10769	10750.0	8	GQ223227	Rhinovirus C	Complete genome	Enterovirus
10770	10751.0	9	GQ223228	Rhinovirus C	Complete genome	Enterovirus
10771	10752.0	10	GQ323774	Rhinovirus C	Complete genome	Enterovirus
10772	10753.0	11	EU840952	Rhinovirus C	Complete genome	Enterovirus
10773	10754.0	12	HM236958	Rhinovirus C	Partial genome	Enterovirus
10774	10755.0	13	HM236908	Rhinovirus C	Partial genome	Enterovirus
10775	10756.0	14	HM236911	Rhinovirus C	Partial genome	Enterovirus
10776	10757.0	15	GU219984	Rhinovirus C	Complete genome	Enterovirus
10777	10758.0	16	KR997882	Rhinovirus C	Partial genome	Enterovirus
10778	10759.0	17	HM236936	Rhinovirus C	Partial genome	Enterovirus
10779	10760.0	18	HM236918	Rhinovirus C	Partial genome	Enterovirus
10780	10761.0	19	EU840728	Rhinovirus C	Partial genome	Enterovirus
10781	10762.0	20	HM236923	Rhinovirus C	Partial genome	Enterovirus
10782	10763.0	21	HM236903	Rhinovirus C	Partial genome	Enterovirus
10783	10764.0	22	KJ675507	Rhinovirus C	Complete genome	Enterovirus
10784	10765.0	23	KJ675506	Rhinovirus C	Complete genome	Enterovirus
10785	10766.0	24	HM236939	Rhinovirus C	Partial genome	Enterovirus
10786	10767.0	25	HM236952	Rhinovirus C	Partial genome	Enterovirus
10787	10768.0	26	HM236904	Rhinovirus C	Partial genome	Enterovirus
10788	10769.0	27	HM236906	Rhinovirus C	Partial genome	Enterovirus
10789	10770.0	28	HM236954	Rhinovirus C	Partial genome	Enterovirus
10790	10771.0	29	HM236949	Rhinovirus C	Partial genome	Enterovirus
10791	10772.0	30	HM236968	Rhinovirus C	Partial genome	Enterovirus
10792	10773.0	31	HM236964	Rhinovirus C	Partial genome	Enterovirus
10793	10774.0	32	HM236897	Rhinovirus C	Partial genome	Enterovirus
10794	10775.0	33	HM236934	Rhinovirus C	Partial genome	Enterovirus
10795	10776.0	34	KM486097	Rhinovirus C	Coding-complete genome	Enterovirus
10796	10777.0	35	JF436925	Rhinovirus C	Complete genome	Enterovirus
10797	10778.0	36	JF416311	Rhinovirus C	Partial genome	Enterovirus
10798	10779.0	37	JF416321	Rhinovirus C	Partial genome	Enterovirus
10799	10780.0	38	JF416322	Rhinovirus C	Partial genome	Enterovirus
10800	10781.0	39	JN205461	Rhinovirus C	Complete genome	Enterovirus
10801	10782.0	40	JN815251	Rhinovirus C	Complete genome	Enterovirus
10802	10783.0	41	KF958311	Rhinovirus C	Complete genome	Enterovirus
10803	10784.0	42	KJ675505	Rhinovirus C	Complete genome	Enterovirus
10804	10785.0	43	JN815249	Rhinovirus C	Complete genome	Enterovirus
10805	10786.0	44	JF416310	Rhinovirus C	Partial genome	Enterovirus
10806	10787.0	45	KY624849	Rhinovirus C	Complete genome	Enterovirus
10807	10788.0	46	JF416318	Rhinovirus C	Partial genome	Enterovirus
10808	10789.0	47	JF519760	Rhinovirus C	Partial genome	Enterovirus
10809	10790.0	48	JF519762	Rhinovirus C	Partial genome	Enterovirus
10810	10791.0	49	JN798566	Rhinovirus C	Complete genome	Enterovirus
10811	10792.0	50	KF688606	Rhinovirus C	Complete genome	Enterovirus
10812	10793.0	51	JF317015	Rhinovirus C	Complete genome	Enterovirus
10813	10794.0	52	KP282614	Rhinovirus C	Complete genome	Enterovirus
10814	10795.0	53	KR997885	Rhinovirus C	Partial genome	Enterovirus
10815	10796.0	54	LC004772	Rhinovirus C	Partial genome	Enterovirus
10816	10797.0	55	KP890662	Rhinovirus C	Complete genome	Enterovirus
10818	10799.0	2	JN572116	Felipivirus A	Complete genome	Felipivirus
10820	10801.0	2	MF352414	Parabovirus A	Complete genome	Parabovirus
10821	10802.0	3	KY432935	Parabovirus A	Complete genome	Parabovirus
10822	10803.0	4	KY432932	Parabovirus A	Complete genome	Parabovirus
10826	10807.0	2	MF352425	Rabovirus A	Complete genome	Rabovirus
10827	10808.0	3	KJ950883	Rabovirus A	Complete genome	Rabovirus
10828	10809.0	4	MF352417	Rabovirus A	Complete genome	Rabovirus
10829	10810.0	5	MF352408	Rabovirus A	Complete genome	Rabovirus
10835	10816.0	2	EU789367	Sapelovirus B	Complete genome	Sapelovirus
10836	10817.0	3	JX627573	Sapelovirus B	Complete genome	Sapelovirus
10850	10831.0	2	KT452644	Hepatovirus D	Complete genome	Hepatovirus
10853	10834.0	2	KT229611	Hepatovirus F	Complete genome	Hepatovirus
10855	10836.0	2	KT452729	Hepatovirus G	Complete genome	Hepatovirus
10857	10838.0	2	KT452714	Hepatovirus H	Complete genome	Hepatovirus
10858	10839.0	3	KT877158	Hepatovirus H	Complete genome	Hepatovirus
10861	10842.0	2	KX156155	Rohelivirus A	Complete genome	Rohelivirus
10864	10845.0	2	MG600110	Tremovirus B	Complete genome	Tremovirus
10869	10850.0	2	KF979337	Gallivirus A	Complete genome	Gallivirus
10872	10853.0	2	JN387133	Aichivirus A	Complete genome	Kobuvirus
10873	10854.0	3	JF755427	Aichivirus A	Complete genome	Kobuvirus
10874	10855.0	4	KF831027	Aichivirus A	Complete genome	Kobuvirus
10875	10856.0	5	KJ934637	Aichivirus A	Complete genome	Kobuvirus
10876	10857.0	6	MF947444	Aichivirus A	Complete genome	Kobuvirus
10877	10858.0	7	KY432931	Aichivirus A	Complete genome	Kobuvirus
10878	10859.0	8	MF175074	Aichivirus A	Complete genome	Kobuvirus
10879	10860.0	9	MF352432	Aichivirus A	Complete genome	Kobuvirus
10880	10861.0	10	MF947429	Aichivirus A	Partial genome	Kobuvirus
10882	10863.0	2	KF006985	Aichivirus B	Complete genome	Kobuvirus
10883	10864.0	3	GU245693	Aichivirus B	Complete genome	Kobuvirus
10885	10866.0	2	KF793927	Aichivirus C	Complete genome	Kobuvirus
10887	10868.0	2	LC055960	Aichivirus D	Complete genome	Kobuvirus
10890	10871.0	2	KJ641691	Aichivirus F	Partial genome	Kobuvirus
10894	10875.0	2	KY369299	Megrivirus A	Complete genome	Megrivirus
10895	10876.0	3	KY369300	Megrivirus A	Complete genome	Megrivirus
10897	10878.0	2	KC811837	Megrivirus B	Complete genome	Megrivirus
10899	10880.0	2	KF979336	Megrivirus C	Complete genome	Megrivirus
10900	10881.0	3	MG846465	Megrivirus C	Complete genome	Megrivirus
10901	10882.0	4	HM751199	Megrivirus C	Complete genome	Megrivirus
10906	10887.0	2	GU182410	Oscivirus A	Complete genome	Oscivirus
10918	10899.0	2	KJ158169	Rosavirus A	Complete genome	Rosavirus
10920	10901.0	2	KJ950906; KJ950911	Rosavirus B	Partial genome	Rosavirus
10922	10903.0	2	KX783425	Rosavirus C	Complete genome	Rosavirus
10923	10904.0	3	KX783432	Rosavirus C	Complete genome	Rosavirus
10924	10905.0	4	KX156156	Rosavirus C	Complete genome	Rosavirus
10927	10908.0	2	KM023140	Salivirus A	Complete genome	Salivirus
10929	10910.0	2	KT880665	Sicinivirus A	Complete genome	Sicinivirus
10930	10911.0	3	KP779642	Sicinivirus A	Complete genome	Sicinivirus
10931	10912.0	4	KY069113	Sicinivirus A	Coding-complete genome	Sicinivirus
10932	10913.0	5	KF979332	Sicinivirus A	Coding-complete genome	Sicinivirus
10933	10914.0	6	KY069112	Sicinivirus A	Coding-complete genome	Sicinivirus
10934	10915.0	7	MG846481	Sicinivirus A	Coding-complete genome	Sicinivirus
10935	10916.0	8	MG846484	Sicinivirus A	Coding-complete genome	Sicinivirus
10936	10917.0	9	MG846482	Sicinivirus A	Coding-complete genome	Sicinivirus
10942	10923.0	2	MH760796	Aquamavirus A	Complete genome	Aquamavirus
10944	10925.0	2	EF067924	Avihepatovirus A	Complete genome	Avihepatovirus
10945	10926.0	3	DQ256132	Avihepatovirus A	Complete genome	Avihepatovirus
10962	10943.0	2	KT880667	Orivirus A	Complete genome	Orivirus
10964	10945.0	2	AJ005695	Parechovirus A	Complete genome	Parechovirus
10965	10946.0	3	AB084913	Parechovirus A	Complete genome	Parechovirus
10966	10947.0	4	DQ315670	Parechovirus A	Complete genome	Parechovirus
10967	10948.0	5	AF055846	Parechovirus A	Complete genome	Parechovirus
10968	10949.0	6	AB252582	Parechovirus A	Complete genome	Parechovirus
10969	10950.0	7	EU556224	Parechovirus A	Complete genome	Parechovirus
10970	10951.0	8	EU716175	Parechovirus A	Complete genome	Parechovirus
10971	10952.0	9	JX219575	Parechovirus A	Partial genome	Parechovirus
10972	10953.0	10	JX219568	Parechovirus A	Partial genome	Parechovirus
10973	10954.0	11	JX219574	Parechovirus A	Partial genome	Parechovirus
10974	10955.0	12	JX219567	Parechovirus A	Partial genome	Parechovirus
10975	10956.0	13	JX219579	Parechovirus A	Partial genome	Parechovirus
10976	10957.0	14	FJ373179	Parechovirus A	Partial genome	Parechovirus
10977	10958.0	15	JX219573	Parechovirus A	Partial genome	Parechovirus
10978	10959.0	16	JX219580	Parechovirus A	Partial genome	Parechovirus
10979	10960.0	17	KT319121	Parechovirus A	Coding-complete genome	Parechovirus
10980	10961.0	18	KY931659	Parechovirus A	Partial genome	Parechovirus
10982	10963.0	2	AF020541	Parechovirus B	Complete genome	Parechovirus
10983	10964.0	3	AF538689	Parechovirus B	Complete genome	Parechovirus
10984	10965.0	4	EU854568	Parechovirus B	Complete genome	Parechovirus
10985	10966.0	5	LC133331	Parechovirus B	Complete genome	Parechovirus
10986	10967.0	6	KY432929	Parechovirus B	Complete genome	Parechovirus
10992	10973.0	2	JX491648	Pasivirus A	Complete genome	Pasivirus
10993	10974.0	3	KM259923	Pasivirus A	Complete genome	Pasivirus
10994	10975.0	4	LT898422	Pasivirus A	Complete genome	Pasivirus
11054	11035.0	2	RNA1: MT521733	Nepovirus betasolani	Partial genome	Nepovirus
11091	11072.0	2	RNA1: JQ437415; RNA2: JQ581051	Cheravirus arracaciae	Complete genome	Cheravirus
11139	11120.0	2	MT536978	Grapevine enamovirus 1	Complete genome	Enamovirus
11140	11121.0	3	KY820716	Grapevine enamovirus 1	Coding-complete genome	Enamovirus
11142	11123.0	2	L04573	Pea enation mosaic virus 1	Complete genome	Enamovirus
11156	11137.0	2	KT992824	Maize yellow mosaic virus	Complete genome	Polerovirus
11171	11152.0	2	HQ388348	Turnip yellows virus	Complete genome	Polerovirus
11175	11156.0	2	DQ680848	Cocksfoot mottle virus	Complete genome	Sobemovirus
11210	11191.0	2	RNA1: MN046368; RNA2: MN046369	Wheat spindle streak mosaic virus	Complete genome	Bymovirus
11219	11200.0	2	HQ840786	Tomato mild mottle virus	Complete genome	Ipomovirus
11221	11202.0	2	FJ185044	Ugandan cassava brown streak virus	Complete genome	Ipomovirus
11225	11206.0	2	DQ152193	Artichoke latent virus	Partial genome	Macluravirus
11251	11232.0	2	DQ851494	Basella rugose mosaic virus	Complete genome	Potyvirus
11254	11235.0	2	U34972	Bean common mosaic virus	Complete genome	Potyvirus
11255	11236.0	3	AY112735	Bean common mosaic virus	Complete genome	Potyvirus
11257	11238.0	2	DQ641248	Bean yellow mosaic virus	Complete genome	Potyvirus
11292	11273.0	2	KX505964	Dasheen mosaic virus	Complete genome	Potyvirus
11302	11283.0	2	AY697300	Euphorbia ringspot virus	Partial genome	Potyvirus
11349	11330.0	2	AY027810	Papaya ringspot virus	Complete genome	Potyvirus
11370	11351.0	2	AJ243957	Plum pox virus	Complete genome	Potyvirus
11371	11352.0	3	X16415	Plum pox virus	Complete genome	Potyvirus
11372	11353.0	4	JQ794501	Plum pox virus	Complete genome	Potyvirus
11373	11354.0	5	AY912055	Plum pox virus	Complete genome	Potyvirus
11374	11355.0	6	AM157175	Plum pox virus	Complete genome	Potyvirus
11375	11356.0	7	KJ787006	Plum pox virus	Complete genome	Potyvirus
11377	11358.0	2	JX291161	Pokeweed mosaic virus	Coding-complete genome	Potyvirus
11379	11360.0	2	AJ131403	Potato virus A	Complete genome	Potyvirus
11382	11363.0	2	U09509	Potato virus Y	Complete genome	Potyvirus
11383	11364.0	3	X97895	Potato virus Y	Complete genome	Potyvirus
11384	11365.0	4	AY166866	Potato virus Y	Complete genome	Potyvirus
11385	11366.0	5	AJ890348	Potato virus Y	Complete genome	Potyvirus
11386	11367.0	6	AJ889867	Potato virus Y	Complete genome	Potyvirus
11409	11390.0	2	AJ507388	Soybean mosaic virus	Complete genome	Potyvirus
11455	11436.0	2	AF228693	Zea mosaic virus	Partial genome	Potyvirus
11496	11477.0	2	MK279487	Alphayadokarivirus nibani	Coding-complete genome	Alphayadokarivirus
11502	11483.0	2	MF375888	Betayadokarivirus nibani	Complete genome	Betayadokarivirus
11505	11486.0	2	LC333741	Betayadokarivirus yonbani	Complete genome	Betayadokarivirus
11507	11488.0	2	RNA1: LC592214; RNA2: LC592215; RNA3: LC592216; RNA4: LC592217; RNA5: LC592218; RNA6: LC592219; RNA7: LC592220; RNA8: LC592221; RNA9: LC592222; RNA10: LC592223	Hadakavirus nanga	Complete genome	Hadakavirus
11510	11491.0	2	SegA: AF078668; SegB: AF078669	Aquabirnavirus salmonidae	Complete genome	Aquabirnavirus
11511	11492.0	3	SegA: AJ622822; SegB: AJ622823	Aquabirnavirus salmonidae	Complete genome	Aquabirnavirus
11512	11493.0	4	SegA: AY780919; SegB: AY780926	Aquabirnavirus salmonidae	Complete genome	Aquabirnavirus
11513	11494.0	5	SegA: KY548509; SegB: KY548520	Aquabirnavirus salmonidae	Complete genome	Aquabirnavirus
11514	11495.0	6	SegA: KY548508; SegB: KY548519	Aquabirnavirus salmonidae	Complete genome	Aquabirnavirus
11517	11498.0	2	SegA: X92760; SegB: X92761	Avibirnavirus gumboroense	Complete genome	Avibirnavirus
11529	11510.0	2	AY494853	Duck hepatitis B virus	Complete genome	Avihepadnavirus
11530	11511.0	3	AF111000	Duck hepatitis B virus	Complete genome	Avihepadnavirus
11531	11512.0	4	AJ441111	Duck hepatitis B virus	Partial genome	Avihepadnavirus
11532	11513.0	5	M95589	Duck hepatitis B virus	Complete genome	Avihepadnavirus
11534	11515.0	2	AJ251937	Heron hepatitis B virus	Complete genome	Avihepadnavirus
11543	11524.0	2	X02763	Hepatitis B virus	Complete genome	Orthohepadnavirus
11544	11525.0	3	D00330	Hepatitis B virus	Complete genome	Orthohepadnavirus
11545	11526.0	4	AY123041	Hepatitis B virus	Complete genome	Orthohepadnavirus
11546	11527.0	5	X75657	Hepatitis B virus	Complete genome	Orthohepadnavirus
11547	11528.0	6	X75658	Hepatitis B virus	Complete genome	Orthohepadnavirus
11548	11529.0	7	AF160501	Hepatitis B virus	Complete genome	Orthohepadnavirus
11549	11530.0	8	AY090454	Hepatitis B virus	Complete genome	Orthohepadnavirus
11550	11531.0	9	AF241411	Hepatitis B virus	Complete genome	Orthohepadnavirus
11551	11532.0	10	AB486012	Hepatitis B virus	Complete genome	Orthohepadnavirus
11552	11533.0	11	AJ131569	Hepatitis B virus	Complete genome	Orthohepadnavirus
11553	11534.0	12	AJ131571	Hepatitis B virus	Complete genome	Orthohepadnavirus
11554	11535.0	13	AJ131572	Hepatitis B virus	Complete genome	Orthohepadnavirus
11555	11536.0	14	AJ131573	Hepatitis B virus	Complete genome	Orthohepadnavirus
11556	11537.0	15	AJ131574	Hepatitis B virus	Complete genome	Orthohepadnavirus
11557	11538.0	16	AF193864	Hepatitis B virus	Complete genome	Orthohepadnavirus
11558	11539.0	17	D00220	Hepatitis B virus	Complete genome	Orthohepadnavirus
11559	11540.0	18	AJ131567	Hepatitis B virus	Complete genome	Orthohepadnavirus
11563	11544.0	2	KC790377	Roundleaf bat hepatitis B virus	Complete genome	Orthohepadnavirus
11813	11794.0	2	dsRNA 1: MH192993; dsRNA 2: MH192994; dsRNA 3: MH192995; dsRNA 4: MH192996	Aspergillus fumigatus polymycovirus 1	Complete genome	Polymycovirus
11814	11795.0	3	dsRNA 1: LC517041; dsRNA 2: LC517042; dsRNA 3: LC517043; dsRNA 4: LC517045; dsRNA 5: LC517044	Aspergillus fumigatus polymycovirus 1	Complete genome	Polymycovirus
11815	11796.0	4	dsRNA 1: LC553675; dsRNA 2: LC553676; dsRNA 3: LC553677; dsRNA 4: LC553678	Aspergillus fumigatus polymycovirus 1	Complete genome	Polymycovirus
11819	11800.0	2	dsRNA 1: KT372135; dsRNA 2: KT372136; dsRNA 3: KT372137; dsRNA 4: KT372138; dsRNA 5: KT372139	Botryoshaeria dothidea polymycovirus 1	Complete genome	Polymycovirus
11827	11808.0	2	DQ174318	Macrobrachium satellite virus 1	Coding-complete genome	Macronovirus
11828	11809.0	3	EU150132	Macrobrachium satellite virus 1	Coding-complete genome	Macronovirus
11829	11810.0	4	EU150131	Macrobrachium satellite virus 1	Coding-complete genome	Macronovirus
11830	11811.0	5	EU150130	Macrobrachium satellite virus 1	Coding-complete genome	Macronovirus
11831	11812.0	6	EU150133	Macrobrachium satellite virus 1	Coding-complete genome	Macronovirus
11832	11813.0	7	DQ521573	Macrobrachium satellite virus 1	Coding-complete genome	Macronovirus
11833	11814.0	8	EF159731	Macrobrachium satellite virus 1	Partial genome	Macronovirus
11911	11892.0	2	KJ755191	Ascovirus hvav3a	Complete genome	Ascovirus
11912	11893.0	3	JX491653	Ascovirus hvav3a	Complete genome	Ascovirus
11921	11902.0	2	AY894343	Infectious spleen and kidney necrosis virus	Complete genome	Megalocytivirus
11922	11903.0	3	KT804738	Infectious spleen and kidney necrosis virus	Complete genome	Megalocytivirus
11923	11904.0	4	AY532606	Infectious spleen and kidney necrosis virus	Complete genome	Megalocytivirus
11924	11905.0	5	GQ273492	Infectious spleen and kidney necrosis virus	Complete genome	Megalocytivirus
11925	11906.0	6	AY779031	Infectious spleen and kidney necrosis virus	Complete genome	Megalocytivirus
11926	11907.0	7	MK098185	Infectious spleen and kidney necrosis virus	Complete genome	Megalocytivirus
11927	11908.0	8	BD143114	Infectious spleen and kidney necrosis virus	Complete genome	Megalocytivirus
11931	11912.0	2	JQ231222	Common midwife toad virus	Complete genome	Ranavirus
11932	11913.0	3	KC865735	Common midwife toad virus	Complete genome	Ranavirus
11933	11914.0	4	KP266741	Common midwife toad virus	Complete genome	Ranavirus
11934	11915.0	5	KX574341	Common midwife toad virus	Complete genome	Ranavirus
11935	11916.0	6	MF538627	Common midwife toad virus	Complete genome	Ranavirus
11936	11917.0	7	MF538628	Common midwife toad virus	Complete genome	Ranavirus
11938	11919.0	2	KT989885	Epizootic haematopoietic necrosis virus	Complete genome	Ranavirus
11939	11920.0	3	JQ724856	Epizootic haematopoietic necrosis virus	Complete genome	Ranavirus
11942	11923.0	2	KJ175144	Frog virus 3	Complete genome	Ranavirus
11943	11924.0	3	JQ654586	Frog virus 3	Complete genome	Ranavirus
11944	11925.0	4	EU627010	Frog virus 3	Complete genome	Ranavirus
11945	11926.0	5	AF389451	Frog virus 3	Complete genome	Ranavirus
11946	11927.0	6	KP266742	Frog virus 3	Complete genome	Ranavirus
11947	11928.0	7	KP266743	Frog virus 3	Complete genome	Ranavirus
11948	11929.0	8	KX185156	Frog virus 3	Complete genome	Ranavirus
11949	11930.0	9	MK227779	Frog virus 3	Complete genome	Ranavirus
11950	11931.0	10	KX353311	Frog virus 3	Complete genome	Ranavirus
11951	11932.0	11	KX574342	Frog virus 3	Complete genome	Ranavirus
11952	11933.0	12	KX574343	Frog virus 3	Complete genome	Ranavirus
11954	11935.0	2	FR677325	Santee-Cooper ranavirus	Partial genome	Ranavirus
11955	11936.0	3	FR677324	Santee-Cooper ranavirus	Partial genome	Ranavirus
